,content,title,rating
5583,John Lasseter Adventure|Animation|Children|Comedy|Fantasy toy|rivalry|cowboy|cgi animation Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn|John Ratzenberger|Annie Potts|John Morris|Erik von Detten|Laurie Metcalf|R. Lee Ermey|Sarah Freeman|Penn Jillette|Jack Angel|Spencer Aste,Toy Story (1995),23062
4544,J.R.R. Tolkien Adventure|Fantasy ring|quest|hobbit|elf Alan Howard|Noel Appleby|Sean Astin|Sala Baker|Sean Bean|Cate Blanchett|Orlando Bloom|Billy Boyd|Marton Csokas|Megan Edwards|Michael Elsworth|Mark Ferguson|Ian Holm|Christopher Lee|Lawrence Makoare,"Lord of the Rings: The Fellowship of the Ring, The (2001)",22216
1934,Christopher McQuarrie Crime|Mystery|Thriller criminal|suspect|criminal mastermind|flashback Stephen Baldwin|Gabriel Byrne|Benicio Del Toro|Kevin Pollak|Kevin Spacey|Chazz Palminteri|Pete Postlethwaite|Suzy Amis|Giancarlo Esposito|Dan Hedaya|Paul Bartel|Carl Bressler|Phillipe Simon|Jack Shearer|Christine Estabrook,"Usual Suspects, The (1995)",22032
229,Alan Ball Drama|Romance adulterous wife|cheating wife|midlife crisis|unfaithful wife Kevin Spacey|Annette Bening|Thora Birch|Wes Bentley|Mena Suvari|Peter Gallagher|Allison Janney|Chris Cooper|Scott Bakula|Sam Robards|Barry Del Sherman|Ara Celi|John Cho|Fort Atkinson|Sue Casey,American Beauty (1999),21644
4542,J.R.R. Tolkien Action|Adventure|Drama|Fantasy orc|epic|battle|journey Noel Appleby|Ali Astin|Sean Astin|David Aston|John Bach|Sean Bean|Cate Blanchett|Orlando Bloom|Billy Boyd|Sadwyn Brophy|Alistair Browning|Marton Csokas|Richard Edge|Jason Fitch|Bernard Hill,"Lord of the Rings: The Return of the King, The (2003)",20430
4543,J.R.R. Tolkien Adventure|Fantasy middle earth|wizard|mission|hobbit Bruce Allpress|Sean Astin|John Bach|Sala Baker|Cate Blanchett|Orlando Bloom|Billy Boyd|Jed Brophy|Sam Comery|Brad Dourif|Calum Gittins|Bernard Hill|Bruce Hopkins|Paris Howe Strewe|Christopher Lee,"Lord of the Rings: The Two Towers, The (2002)",20317
641,Andrew Kevin Walker Mystery|Thriller serial killer|detective|serial murder|seven deadly sins Morgan Freeman|Andrew Kevin Walker|Daniel Zacapa|Brad Pitt|Gwyneth Paltrow|John Cassini|Bob Mack|Peter Crombie|Reg E. Cathey|R. Lee Ermey|George Christy|Endre Hules|Hawthorne James|William Davidson|Bob Collins,Seven (a.k.a. Se7en) (1995),20254
5019,Jeb Stuart Thriller one armed man|on the run|u.s. marshal|surgeon Harrison Ford|Tommy Lee Jones|Sela Ward|Julianne Moore|Joe Pantoliano|Andreas Katsulas|Jeroen Krabbé|Daniel Roebuck|L. Scott Caldwell|Tom Wood|Ron Dean|Joseph F. Kosala|Miguel Nino|John Drummond|Tony Fosco,"Fugitive, The (1993)",19849
2744,Dean Devlin Action|Adventure|Sci-Fi|Thriller trailer trash|product placement|alien invasion|vomiting Will Smith|Bill Pullman|Jeff Goldblum|Mary McDonnell|Judd Hirsch|Robert Loggia|Randy Quaid|Margaret Colin|James Rebhorn|Harvey Fierstein|Adam Baldwin|Brent Spiner|James Duval|Vivica A. Fox|Lisa Jakub,Independence Day (a.k.a. ID4) (1996),19486
5265,Jim Lovell Adventure|Drama|IMAX 1970s|survival|astronaut|space mission Tom Hanks|Bill Paxton|Kevin Bacon|Gary Sinise|Ed Harris|Kathleen Quinlan|Mary Kate Schellhardt|Emily Ann Lloyd|Miko Hughes|Max Elliott Slade|Jean Speegle Howard|Tracy Reiner|David Andrews|Michele Little|Chris Ellis,Apollo 13 (1995),19269
3385,Ethan Coen Comedy|Crime|Drama|Thriller black comedy|botched crime|neo noir|americana William H. Macy|Steve Buscemi|Peter Stormare|Kristin Rudrüd|Harve Presnell|Tony Denman|Gary Houston|Sally Wingert|Kurt Schweickhardt|Larissa Kokernot|Melissa Peterman|Steve Reevis|Warren Keith|Steve Edelman|Sharon Anderson,Fargo (1996),19217
1803,Chris Marker Mystery|Sci-Fi|Thriller time travel|virus|mental institution|underground Joseph Melito|Bruce Willis|Jon Seda|Michael Chance|Vernon Campbell|H. Michael Walls|Bob Adrian|Simon Jones|Carol Florence|Bill Raymond|Ernest Abuba|Irma St. Paule|Madeleine Stowe|Joey Perillo|Bruce Kirkpatrick,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),18880
9786,Robert Rodat Action|Drama|War rescue mission|year 1944|d day|1940s Tom Hanks|Tom Sizemore|Edward Burns|Barry Pepper|Adam Goldberg|Vin Diesel|Giovanni Ribisi|Jeremy Davies|Matt Damon|Ted Danson|Paul Giamatti|Dennis Farina|Joerg Stadler|Max Martini|Dylan Bruno,Saving Private Ryan (1998),18839
7073,M. Night Shyamalan Drama|Horror|Mystery surprise ending|single mother|able to see the dead|plot twist Bruce Willis|Haley Joel Osment|Toni Collette|Olivia Williams|Trevor Morgan|Donnie Wahlberg|Peter Anthony Tambakis|Jeffrey Zubernis|Bruce Norris|Glenn Fitzgerald|Greg Wood|Mischa Barton|Angelica Page|Lisa Summerour|Firdous Bamji,"Sixth Sense, The (1999)",18668
2516,David Franzoni Action|Adventure|Drama gladiator|roman empire|slavery|combat Russell Crowe|Joaquin Phoenix|Connie Nielsen|Oliver Reed|Richard Harris|Derek Jacobi|Djimon Hounsou|David Schofield|John Shrapnel|Tomas Arana|Ralf Moeller|Spencer Treat Clark|David Hemmings|Tommy Flanagan|Sven-Ole Thorsen,Gladiator (2000),17823
5617,John Musker Adventure|Animation|Children|Comedy|Musical arab|genie|genie character|princess Scott Weinger|Robin Williams|Linda Larkin|Jonathan Freeman|Frank Welker|Gilbert Gottfried|Douglas Seale|Charlie Adler|Jack Angel|Corey Burton|Philip L. Clarke|Jim Cummings|Jennifer Darling|Debi Derryberry|Bruce Gooch,Aladdin (1992),17462
9633,Rob Minkoff Adventure|Animation|Children|Drama|Musical|IMAX africa|king|lion|prince Rowan Atkinson|Matthew Broderick|Niketa Calame-Harris|Jim Cummings|Whoopi Goldberg|Robert Guillaume|Jeremy Irons|James Earl Jones|Moira Kelly|Nathan Lane|Zoe Leader|Cheech Marin|Ernie Sabella|Madge Sinclair|Jonathan Taylor Thomas,"Lion King, The (1994)",17255
11745,Vicky Jenson Adventure|Animation|Children|Comedy|Fantasy|Romance onion|epic|exploding animal|arm ripped off Mike Myers|Eddie Murphy|Cameron Diaz|John Lithgow|Vincent Cassel|Peter Dennis|Clive Pearse|Jim Cummings|Bobby Block|Chris Miller|Cody Cameron|Kathleen Freeman|Michael Galasso|Christopher Knights|Simon J. Smith,Shrek (2001),16829
2021,Claude Zidi Action|Adventure|Comedy|Romance|Thriller secret agent|spy|secret mission|remake Arnold Schwarzenegger|Jamie Lee Curtis|Tom Arnold|Bill Paxton|Tia Carrere|Art Malik|Eliza Dushku|Grant Heslov|Charlton Heston|Marshall Manesh|James Allen|Dieter Rauter|Jane Morris|Katsy Chappell|Crystina Wyler,True Lies (1994),16710
5824,Jonathan Nolan Action|Crime|Drama|IMAX dc comics|joker|psychopath|clown Christian Bale|Heath Ledger|Aaron Eckhart|Michael Caine|Maggie Gyllenhaal|Gary Oldman|Morgan Freeman|Monique Gabriela Curnen|Ron Dean|Cillian Murphy|Chin Han|Nestor Carbonell|Eric Roberts|Ritchie Coster|Anthony Michael Hall,"Dark Knight, The (2008)",16600
3952,Graham Yost Action|Romance|Thriller bus|bomb|mini skirt|police Keanu Reeves|Dennis Hopper|Sandra Bullock|Joe Morton|Jeff Daniels|Alan Ruck|Glenn Plummer|Richard Lineback|Beth Grant|Hawthorne James|Carlos Carrasco|David Kriegel|Natsuko Ohama|Daniel Villarreal|Simone Gad,Speed (1994),16554
1945,Christopher Nolan Mystery|Thriller memory|hidden truth|short term memory loss|telephone Guy Pearce|Carrie-Anne Moss|Joe Pantoliano|Mark Boone Junior|Russ Fega|Jorja Fox|Stephen Tobolowsky|Harriet Sansom Harris|Thomas Lennon|Callum Keith Rennie|Kimberly Campbell|Marianne Muellerleile|Larry Holden,Memento (2000),16536
6964,Lowell Cunningham Action|Comedy|Sci-Fi alien|pantyhose|superhero|galaxy Tommy Lee Jones|Will Smith|Linda Fiorentino|Vincent D'Onofrio|Rip Torn|Tony Shalhoub|Siobhan Fallon Hogan|Mike Nussbaum|Jon Gries|Sergio Calderón|Carel Struycken|Fredric Lehne|Richard Hamilton|Kent Faulcon|John Alexander,Men in Black (a.k.a. MIB) (1997),16061
1943,Christopher Nolan Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX dream|subconscious|ambiguous ending|surprise ending Leonardo DiCaprio|Joseph Gordon-Levitt|Ellen Page|Tom Hardy|Ken Watanabe|Dileep Rao|Cillian Murphy|Tom Berenger|Marion Cotillard|Pete Postlethwaite|Michael Caine|Lukas Haas|Tai-Li Lee|Claire Geare|Magnus Nolan,Inception (2010),15451
7544,Matt Damon Drama|Romance professor|genius|friend|mathematical genius Matt Damon|Ben Affleck|Stellan Skarsgård|John Mighton|Rachel Majorowski|Colleen McCauley|Casey Affleck|Cole Hauser|Matt Mercier|Ralph St. George|Rob Lynds|Dan Washington|Alison Folland|Derrick Bridgeman|Vik Sahay,Good Will Hunting (1997),15395
4565,Jack Bernstein Comedy stupidity|nudity|owner dog relationship|master dog relationship Jim Carrey|Courteney Cox|Sean Young|Tone Loc|Dan Marino|Noble Willingham|Troy Evans|Raynor Scheine|Udo Kier|Frank Adonis|Tiny Ron|David Margulies|John Capodice|Judy Clayton|Bill Zuckert,Ace Ventura: Pet Detective (1994),14941
2376,Danny Rubin Comedy|Fantasy|Romance trapped in a time loop|time loop|groundhog day|suicide Bill Murray|Andie MacDowell|Chris Elliott|Stephen Tobolowsky|Brian Doyle-Murray|Marita Geraghty|Angela Paton|Rick Ducommun|Rick Overton|Robin Duke|Carol Bivins|Willie Garson|Ken Hudson Campbell|Les Podewell|Rod Sell,Groundhog Day (1993),14925
4657,James Cameron Drama|Romance iceberg|sailor's death|wet|wetness Leonardo DiCaprio|Kate Winslet|Billy Zane|Kathy Bates|Frances Fisher|Gloria Stuart|Bill Paxton|Bernard Hill|David Warner|Victor Garber|Jonathan Hyde|Suzy Amis|Lewis Abernathy|Nicholas Cascone|Anatoly M. Sagalevitch,Titanic (1997),14890
11151,Ted Elliott Action|Adventure|Comedy|Fantasy pirate|curse|undead|governor Johnny Depp|Geoffrey Rush|Orlando Bloom|Keira Knightley|Jack Davenport|Jonathan Pryce|Lee Arenberg|Mackenzie Crook|Damian O'Hare|Giles New|Angus Barnett|David Bailie|Michael Berry Jr.|Isaac C. Singleton Jr.|Kevin McNally,Pirates of the Caribbean: The Curse of the Black Pearl (2003),14846
1473,Bruce Geller Action|Adventure|Mystery|Thriller ethan hunt character|based on tv show|famous score|train Tom Cruise|Jon Voight|Emmanuelle Béart|Henry Czerny|Jean Reno|Ving Rhames|Kristin Scott Thomas|Vanessa Redgrave|Ingeborga Dapkunaite|Valentina Yakunina|Marek Vasut|Nathan Osgood|John McLaughlin|Rolf Saxon|Karel Dobrý,Mission: Impossible (1996),14790
6508,Kirk Wise Animation|Children|Fantasy|Musical|Romance|IMAX france|rose|castle|chauvinism Robby Benson|Jesse Corti|Rex Everhart|Angela Lansbury|Paige O'Hara|Jerry Orbach|Bradley Pierce|David Ogden Stiers|Richard White|Jo Anne Worley|Mary Kay Bergman|Brian Cummings|Alvin Epstein|Tony Jay|Alec Murphy,Beauty and the Beast (1991),14237
9283,Quentin Tarantino Crime|Mystery|Thriller heist gone wrong|nonlinear timeline|robbery|graphic violence Harvey Keitel|Tim Roth|Michael Madsen|Chris Penn|Steve Buscemi|Lawrence Tierney|Randy Brooks|Kirk Baltz|Edward Bunker|Quentin Tarantino|Rich Turner|David Steen|Tony Cosmo|Stevo Polyi|Michael Sottile,Reservoir Dogs (1992),13998
7791,Michael Fallon Action|Comedy|Crime|Fantasy pantyhose|alter ego|super villain|camera shot of feet Jim Carrey|Peter Riegert|Peter Greene|Amy Yasbeck|Richard Jeni|Orestes Matacena|Tim Bagley|Nancy Fish|Johnny Williams|Reg E. Cathey|Jim Doughan|Denis Forest|Cameron Diaz|Joseph Alfieri|B.J. Barie,"Mask, The (1994)",13908
6790,Lee Unkrich Adventure|Animation|Children|Comedy pufferfish|shark|great barrier reef|short term memory loss Albert Brooks|Ellen DeGeneres|Alexander Gould|Willem Dafoe|Brad Garrett|Allison Janney|Austin Pendleton|Stephen Root|Vicki Lewis|Joe Ranft|Geoffrey Rush|Andrew Stanton|Elizabeth Perkins|Nicholas Bird|Bob Peterson,Finding Nemo (2003),13875
4527,J.F. Lawton Comedy|Romance hotel|falling in love with a prostitute|prostitute|blockbuster Richard Gere|Julia Roberts|Ralph Bellamy|Jason Alexander|Laura San Giacomo|Alex Hyde-White|Amy Yasbeck|Elinor Donahue|Hector Elizondo|Judith Baldwin|Jason Randal|Bill Applebaum|Tracy Bjork|Gary Greene|Billy Gallo,Pretty Woman (1990),13862
2698,David Silverman Adventure|Animation|Children|Comedy|Fantasy original story|monster world|human nonhuman relationship|monster John Goodman|Billy Crystal|Mary Gibbs|Steve Buscemi|James Coburn|Jennifer Tilly|Bob Peterson|John Ratzenberger|Frank Oz|Daniel Gerson|Steve Susskind|Bonnie Hunt|Jeff Pidgeon|Samuel Lord Black|Jack Angel,"Monsters, Inc. (2001)",13704
786,Anne Fine Comedy|Drama male actor playing a female character|profanity|birthday|wild party Robin Williams|Sally Field|Pierce Brosnan|Harvey Fierstein|Polly Holliday|Lisa Jakub|Matthew Lawrence|Mara Wilson|Robert Prosky|Anne Haney|Scott Capurro|Sydney Walker|Joe Bellan|Martin Mull|Terence McGovern,Mrs. Doubtfire (1993),13704
4034,Guillaume Laurant Comedy|Romance female protagonist|paris france|france|montmartre paris Audrey Tautou|Mathieu Kassovitz|Rufus|Lorella Cravotta|Serge Merlin|Jamel Debbouze|Clotilde Mollet|Claire Maurier|Isabelle Nanty|Dominique Pinon|Artus de Penguern|Yolande Moreau|Urbain Cancelier|Maurice Bénichou|Michel Robin,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",13649
6985,Luc Besson Action|Crime|Drama|Thriller hitman|girl|teenage girl|neo noir Jean Reno|Gary Oldman|Natalie Portman|Danny Aiello|Peter Appel|Willi One Blood|Don Creech|Keith A. Glascoe|Randolph Scott|Michael Badalucco|Ellen Greene|Elizabeth Regen|Carl J. Matusovich|Frank Senger|Lucius Wyatt Cherokee,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),13466
661,Andrew Niccol Comedy|Drama|Sci-Fi hidden camera|simulated reality|fictional reality show|controlled environment Jim Carrey|Laura Linney|Noah Emmerich|Natascha McElhone|Holland Taylor|Brian Delate|Blair Slater|Peter Krause|Heidi Schanz|Ron Taylor|Don Taylor|Ted Raymond|Judy Clayton|Fritz Dominique|Angel Schmiedt,"Truman Show, The (1998)",13419
9277,Quentin Tarantino Action|Crime|Thriller revenge|bride|sword|female protagonist Uma Thurman|Lucy Liu|Vivica A. Fox|Daryl Hannah|David Carradine|Michael Madsen|Julie Dreyfus|Chiaki Kuriyama|Shin'ichi Chiba|Chia-Hui Liu|Michael Parks|Michael Bowen|Jun Kunimura|Kenji Ohba|Yuki Kazamatsuri,Kill Bill: Vol. 1 (2003),13400
5808,Jonathan Hensleigh Action|Crime|Thriller john mcclane character|time bomb|good versus evil|male butt clench Bruce Willis|Jeremy Irons|Samuel L. Jackson|Graham Greene|Colleen Camp|Larry Bryggman|Anthony Peck|Nick Wyman|Sam Phillips|Kevin Chamberlin|Sharon Washington|Stephen Pearlman|Michael Alexander Jackson|Aldis Hodge|Mischa Hausserman,Die Hard: With a Vengeance (1995),13308
6972,Luc Besson Action|Adventure|Comedy|Sci-Fi futuristic city|future|taxi driver|love Bruce Willis|Gary Oldman|Ian Holm|Milla Jovovich|Chris Tucker|Luke Perry|Brion James|Tommy 'Tiny' Lister|Lee Evans|Charlie Creed-Miles|Tricky|John Neville|John Bluthal|Mathieu Kassovitz|Christopher Fairbank,"Fifth Element, The (1997)",13160
1722,Charlie Kaufman Drama|Romance|Sci-Fi memory|loneliness|retrograde narrative|flashback Jim Carrey|Kate Winslet|Gerry Robert Byrne|Elijah Wood|Thomas Jay Ryan|Mark Ruffalo|Jane Adams|David Cross|Kirsten Dunst|Tom Wilkinson|Ryan Whitney|Debbon Ayer|Amir Ali Said|Brian Price|Paulie Litt,Eternal Sunshine of the Spotless Mind (2004),13129
11445,Tom DeSanto Action|Adventure|Sci-Fi mutant|superhero|superhero team|logan character Hugh Jackman|Patrick Stewart|Ian McKellen|Famke Janssen|James Marsden|Halle Berry|Anna Paquin|Tyler Mane|Ray Park|Rebecca Romijn|Bruce Davison|Matthew Sharp|Brett Morris|Rhona Shekter|Kenneth McGregor,X-Men (2000),13099
3801,George Lucas Action|Adventure|Sci-Fi r2 d2 character|c 3po character|jedi|torso cut in half Liam Neeson|Ewan McGregor|Natalie Portman|Jake Lloyd|Ian McDiarmid|Pernilla August|Oliver Ford Davies|Hugh Quarshie|Ahmed Best|Anthony Daniels|Kenny Baker|Frank Oz|Terence Stamp|Brian Blessed|Andy Secombe,Star Wars: Episode I - The Phantom Menace (1999),12925
2719,David Weisberg Action|Adventure|Thriller two word title|time bomb|colored smoke|aircraft Sean Connery|Nicolas Cage|Ed Harris|John Spencer|David Morse|William Forsythe|Michael Biehn|Vanessa Marcil|John C. McGinley|Gregory Sporleder|Tony Todd|Bokeem Woodbine|Jim Maniaci|Greg Collins|Brendan Kelly,"Rock, The (1996)",12831
1276,Bobby Farrelly Adventure|Comedy road trip|briefcase of money|woman wearing a short skirt|kidnapping Jim Carrey|Jeff Daniels|Lauren Holly|Mike Starr|Karen Duffy|Charles Rocket|Victoria Rowell|Joe Baker|Hank Brandt|Teri Garr|Brady Bluhm|Cam Neely|Felton Perry|Brad Lockerman|Rob Moran,Dumb & Dumber (Dumb and Dumber) (1994),12761
9926,Ron Howard Drama|Romance mathematician|mental illness|game theory|schizophrenia Russell Crowe|Ed Harris|Jennifer Connelly|Christopher Plummer|Paul Bettany|Adam Goldberg|Josh Lucas|Anthony Rapp|Jason Gray-Stanford|Judd Hirsch|Austin Pendleton|Vivien Cardone|Jillie Simon|Victor Steinbach|Tanya Clarke,"Beautiful Mind, A (2001)",12693
3781,George Clayton Johnson Crime|Thriller casino|heist|criminal mastermind|card dealer George Clooney|Cecelia Ann Birt|Paul L. Nolan|Carol Florence|Lori Galinski|Bernie Mac|Brad Pitt|Mark Gantt|Tim Perez|Elliott Gould|Frank Patton III|Casey Affleck|Scott Caan|Eddie Jemison|Jorge R. Hernandez,Ocean's Eleven (2001),12648
2856,Dick King-Smith Children|Drama farmer|pig|sheep|farm Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn|Russi Taylor|Evelyn Krape|Michael Edward-Stevens|Charles Bartlett|Paul Livingston|Roscoe Lee Browne|James Cromwell|Magda Szubanski|Zoe Burton|Paul Goddard,Babe (1995),12585
1262,Bob Kane Action|Adventure|Comedy|Crime bruce wayne character|batman character|alfred pennyworth character|harvey dent character Val Kilmer|Tommy Lee Jones|Jim Carrey|Nicole Kidman|Chris O'Donnell|Michael Gough|Pat Hingle|Drew Barrymore|Debi Mazar|Elizabeth Sanders|Rene Auberjonois|Joe Grifasi|Philip Moon|Jessica Tuck|Dennis Paladino,Batman Forever (1995),12522
2627,David McKenna Crime|Drama neo nazi|prison|hatred|racism Edward Norton|Edward Furlong|Beverly D'Angelo|Jennifer Lien|Ethan Suplee|Fairuza Balk|Avery Brooks|Elliott Gould|Stacy Keach|William Russ|Guy Torry|Joe Cortese|Jason Bose Smith|Antonio David Lyons|Alex Sol,American History X (1998),12504
2743,Dean Devlin Action|Adventure|Sci-Fi portal|hieroglyph|archeology|stargate Kurt Russell|James Spader|Jaye Davidson|Viveca Lindfors|Alexis Cruz|Mili Avital|Leon Rippy|John Diehl|Carlos Lauchu|Djimon Hounsou|Erick Avari|French Stewart|Gianin Loffler|Christopher John Fields|Derek Webster,Stargate (1994),12440
1309,Brad Bird Action|Adventure|Animation|Children|Comedy superhero family|superhero|non comic book superhero|secret identity Craig T. Nelson|Holly Hunter|Samuel L. Jackson|Jason Lee|Dominique Louis|Teddy Newton|Jean Sincere|Eli Fucile|Maeve Andrews|Wallace Shawn|Spencer Fox|Lou Romano|Wayne Canney|Sarah Vowell|Michael Bird,"Incredibles, The (2004)",12320
7761,Michael Crichton Action|Adventure|Romance|Thriller eating|steak|crashing a car into a house|cow Helen Hunt|Bill Paxton|Cary Elwes|Jami Gertz|Philip Seymour Hoffman|Lois Smith|Alan Ruck|Sean Whalen|Scott Thomson|Todd Field|Joey Slotnick|Wendle Josepher|Jeremy Davies|Zach Grenier|Gregory Sporleder,Twister (1996),12282
1266,Bob Kane Action|Crime|IMAX social decay|dc comics|superhero|well Christian Bale|Michael Caine|Liam Neeson|Katie Holmes|Gary Oldman|Cillian Murphy|Tom Wilkinson|Rutger Hauer|Ken Watanabe|Mark Boone Junior|Linus Roache|Morgan Freeman|Larry Holden|Gerard Murphy|Colin McFarlane,Batman Begins (2005),12209
10751,Stephen King Crime|Drama death row inmate|evil|evil man|good versus evil Tom Hanks|David Morse|Bonnie Hunt|Michael Clarke Duncan|James Cromwell|Michael Jeter|Graham Greene|Doug Hutchison|Sam Rockwell|Barry Pepper|Jeffrey DeMunn|Patricia Clarkson|Harry Dean Stanton|Dabbs Greer|Eve Brent,"Green Mile, The (1999)",12165
9171,Philip K. Dick Action|Crime|Mystery|Sci-Fi|Thriller year 2054|future noir|neo noir|washington d.c. Tom Cruise|Max von Sydow|Steve Harris|Neal McDonough|Patrick Kilpatrick|Jessica Capshaw|Richard Coca|Keith Campbell|Kirk B.R. Woller|Klea Scott|Frank Grillo|Anna Maria Horsford|Sarah Simmons|Eugene Osment|James Henderson,Minority Report (2002),12115
10652,Spike Jonze Comedy|Drama|Fantasy puppeteer|portal|body swap|body switching John Cusack|Cameron Diaz|Ned Bellamy|Eric Weinstein|Madison Lanc|Octavia Spencer|Mary Kay Place|Orson Bean|Catherine Keener|K.K. Dodds|Byrne Piven|Judith Wetzell|John Malkovich|Kevin Carroll|Willie Garson,Being John Malkovich (1999),12059
10673,Stan Lee Action|Adventure|Sci-Fi|Thriller superhero|may parker character|peter parker character|ben parker character Tobey Maguire|Willem Dafoe|Kirsten Dunst|James Franco|Cliff Robertson|Rosemary Harris|J.K. Simmons|Joe Manganiello|Gerry Becker|Bill Nunn|Jack Betts|Stanley Anderson|Ron Perkins|Michael Papajohn|K.K. Dodds,Spider-Man (2002),11848
11565,Tony Gilroy Action|Mystery|Thriller amnesia|assassin|secret past|money Matt Damon|Franka Potente|Chris Cooper|Clive Owen|Brian Cox|Adewale Akinnuoye-Agbaje|Gabriel Mann|Walton Goggins|Josh Hamilton|Julia Stiles|Orso Maria Guerrini|Tim Dutton|Denis Braccini|Nicky Naudé|David Selburg,"Bourne Identity, The (2002)",11577
4460,Irvine Welsh Comedy|Crime|Drama drugs|drug culture|filthy toilet|scotland Ewan McGregor|Ewen Bremner|Jonny Lee Miller|Kevin McKidd|Robert Carlyle|Kelly Macdonald|Peter Mullan|James Cosmo|Eileen Nicholas|Susan Vidler|Pauline Lynch|Shirley Henderson|Stuart McQuarrie|Irvine Welsh|Dale Winton,Trainspotting (1996),11427
9278,Quentin Tarantino Action|Drama|Thriller bride|vengeance|female assassin|martial arts Vivica A. Fox|Ambrosia Kelley|Michael Parks|James Parks|Jonathan Loughran|Michael Bowen|Kenji Ohba|Yoshiyuki Morishita|Jun Kunimura|Goro Daimon|Kazuki Kitamura|Akaji Maro|Shun Sugata|Sachiko Fujii|Ronnie Yoshiko Fujiyama,Kill Bill: Vol. 2 (2004),11408
